,AFG,,,ALB,DZA,AGO,,ARG,ARM,,,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BOL,BIH,,BRA,BGR,BFA,BDI,,KHM,CMR,CAN,,CAF,TCD,CHL,CHN,,,,COL,COG,CRI,,HRV,CUB,CYP,CZE,,COD,DNK,DJI,DOM,,ECU,,EGY,SLV,GNQ,EST,ETH,,,,FJI,FIN,,,,,,,,,,,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GLP,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,,LAO,LVA,LBN,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MNG,MAR,MOZ,MMR,NPL,,NLD,,,NZL,NIC,NER,NGA,NOR,,OMN,,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,MDA,ROU,RUS,RWA,WSM,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SOM,ZAF,ESP,LKA,SHN,,,SDN,SUR,SWE,CHE,SYR,,TJK,TZA,MKD,THA,TGO,TTO,TUN,TUR,TKM,UGA,GBR,UKR,ARE,URY,,USA,UZB,VEN,VNM,,YEM,,ZMB,ZWE
JPN,51332,NA,NA,1030,289547,26628,NA,1401022,1491,1714666,NA,24170631,2674288,7661,383125,356608,583359,35698,9677,6943799,63388,NA,198801,55955,3541,NA,6098906,85218,12008,2512,NA,101324,24394,20081058,NA,4086,2580,3537780,96604128,27237745,108953,NA,787241,25372,417859,42244,31775,59816,269281,768697,NA,27839,2811073,NA,407264,NA,376978,NA,883548,105557,53580,85549,107700,NA,NA,NA,69691,2658113,NA,NA,NA,NA,NA,NA,NA,672,NA,18180712,41277,9264,4957,37204702,88531,NA,1261495,95347,NA,263341,15263,6196,15873,24865,217655,2092283,622132,NA,21771841,NA,6016731,702907,6164594,2078103,11249605,159291,NA,221866,194291,150105,87128,455392,52269173,5689463,5086,NA,31597,14024,123818,NA,101075,26016,51084,62431,31724142,6234,101110,93247,81794,9943920,34961,527386,39024,309743,55308,70275,10124505,NA,338613,3743409,83750,6787,623163,2948929,NA,2944068,45157,861791,6478289,406067,72790,831370,13646174,1117029,1114896,6144928,NA,217047,5187432,8850,21027,17356309,39489,13349,5641,29578101,337595,182304,571,5155101,5770615,736613,NA,71877,6650,333484,52501,4609101,5630169,131459,57846379,1546,108553,9278,26022389,21786,81052,192739,1752438,54859,38741,22413101,199582,17360730,122353,348953,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41400,NA,NA,NA,NA,NA,NA,NA,103594,NA,NA,NA,NA,NA,NA,20794,14453,NA,NA,NA,NA,NA,13785,NA,NA,NA,NA,246951,3562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170697,NA,NA,NA,404169,NA,NA,24896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91261,NA,8169,NA,18150,67656,215314,NA,221866,NA,NA,NA,NA,NA,159865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90750,NA,NA,NA,NA,412,NA,7862,NA,NA,NA,NA,99497,NA,NA,14325,NA,NA,NA,NA,NA,29548,NA,42789,NA,NA,NA,NA,10248,4871,11730,NA,NA,18196,34146,NA,NA,NA,NA,NA,NA,14665,2419,NA,NA,4753,60592,NA,NA,NA,NA,NA,NA,59083,50242,NA,NA,NA,NA,NA,42324,NA,NA,14627,119657,NA,NA,195684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KAZ,NA,NA,NA,NA,NA,NA,9817,9414,5001,NA,NA,6539,363945,55029,NA,NA,4728,NA,52778,74702,NA,NA,NA,NA,NA,NA,28305,9317,NA,NA,NA,NA,NA,38850,NA,NA,NA,NA,1098572,1629,NA,NA,225,NA,NA,1385,1365,NA,3370,153273,NA,NA,NA,NA,NA,NA,1578,NA,8004,NA,NA,11758,NA,NA,NA,NA,NA,141232,NA,NA,NA,NA,NA,NA,NA,NA,NA,559109,NA,NA,12055,1279338,NA,NA,117714,NA,NA,NA,NA,NA,NA,NA,NA,29554,NA,NA,2554,NA,319611,NA,14099,1211474,725254,NA,194291,NA,NA,NA,NA,NA,128888,NA,71648,NA,NA,71380,NA,NA,NA,18910,NA,NA,4591,NA,NA,NA,NA,52102,12751,4713,NA,NA,NA,NA,106246,NA,NA,3474,NA,NA,4116,5549,NA,3938,NA,2343,NA,NA,NA,21100,474,133593,8617,NA,7998,306132,4645995,NA,NA,NA,NA,NA,NA,NA,26687,9106,NA,16267,70811,4060,NA,1061490,NA,NA,NA,31633,53273,NA,17723,54713,NA,NA,45748,NA,NA,NA,480006,49046,NA,332110,342360,27378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEN,NA,NA,NA,NA,NA,NA,NA,41838,NA,NA,NA,20912,6229,NA,NA,NA,NA,NA,NA,75742,NA,NA,NA,NA,NA,NA,9842,NA,NA,NA,NA,NA,NA,21233,NA,NA,NA,490,131207,37302,NA,NA,NA,NA,NA,NA,NA,NA,NA,2308,NA,NA,12835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49008,NA,NA,NA,NA,NA,NA,NA,NA,NA,172564,NA,NA,NA,190384,NA,NA,4822,NA,NA,NA,NA,NA,NA,NA,NA,1902,NA,NA,27721,NA,4667,NA,24127,47530,100252,NA,150105,NA,NA,NA,NA,NA,46001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35804,NA,NA,NA,NA,2740,NA,1355,NA,NA,NA,NA,220974,NA,NA,1542,NA,NA,NA,13662,NA,NA,NA,162923,NA,NA,NA,NA,3456,9799,3897,NA,NA,2426,19045,NA,NA,NA,NA,NA,NA,24054,NA,588,NA,215241,29187,NA,NA,NA,NA,NA,NA,29032,24964,NA,NA,NA,NA,NA,39091,NA,NA,1361,8624,NA,NA,514186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646,14480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3165,NA,NA,NA,7764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19698,NA,NA,NA,NA,NA,NA,NA,87128,NA,NA,NA,NA,NA,27179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1660,NA,NA,7192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13801,NA,706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13080,NA,NA,NA,NA,NA,NA,8315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3950,11870,NA,NA,NA,NA,NA,NA,15262,NA,NA,NA,NA,NA,NA,247792,2090,NA,NA,NA,NA,NA,15305,NA,NA,NA,3462,478609,45876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31855,NA,NA,NA,72184,NA,NA,1705,NA,NA,NA,NA,NA,NA,NA,NA,1824,NA,NA,14759,NA,NA,NA,NA,NA,13511,NA,455392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646,NA,NA,NA,NA,171050,NA,NA,NA,NA,NA,NA,18683,NA,NA,NA,NA,NA,49697,NA,NA,NA,NA,1961,NA,NA,NA,5803,NA,8908,NA,NA,NA,NA,41956,NA,NA,NA,NA,NA,NA,45921,NA,NA,NA,1519,79189,NA,NA,NA,NA,NA,NA,5129,6119,NA,NA,NA,NA,NA,200315,NA,NA,NA,NA,NA,NA,24876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,NA,NA,NA,NA,248282,669609,NA,679325,NA,507921,NA,8879865,560859,4300,487734,342915,642665,NA,25888,1664337,6377,NA,NA,11404,NA,NA,2464094,34103,1435,NA,NA,95591,16281,5662146,NA,NA,NA,1430764,36000753,11906615,53252,NA,272019,547000,180686,20240,33333,NA,170345,256904,NA,684,836426,NA,197040,NA,374788,NA,648438,86043,3652,35560,21609,NA,NA,NA,17490,818780,NA,NA,NA,NA,NA,NA,NA,NA,NA,4494230,179748,NA,4325,9984747,54676,NA,1135382,NA,NA,504061,62039,NA,3087,NA,161158,625726,34242,NA,7358348,NA,3763023,531204,2117822,1067194,3711578,87816,52269173,159865,128888,46001,27179,NA,NA,3000449,NA,NA,3924,10555,93362,1078989,149509,23729,NA,NA,8531432,8826,219680,1018,29693,4388537,53186,142251,6498,306884,19365,NA,3209092,NA,70700,998516,NA,265907,264854,1252430,NA,1914566,83262,617028,1271866,126698,NA,358679,4280500,791237,435468,2489894,3391,242055,2992203,NA,NA,10660906,9488,NA,4520,8528091,39559,79116,NA,1478305,2020467,431451,NA,56878,NA,198579,NA,952866,1286229,195847,13702797,11938,21540,NA,3802867,NA,28067,101008,1213019,NA,3418,7739096,460957,6688279,148467,517617,NA,NA,NA,NA,NA,NA,NA,NA,NA
KWT,NA,NA,NA,NA,3282,NA,NA,45248,NA,NA,NA,282798,NA,NA,NA,NA,NA,NA,NA,205545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171986,NA,NA,NA,NA,577895,73155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664375,NA,NA,NA,714621,NA,NA,15838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,889921,NA,122677,NA,60774,NA,726762,NA,5689463,NA,NA,NA,NA,NA,3000449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168206,NA,NA,NA,NA,NA,NA,15700,NA,NA,NA,NA,1542608,NA,NA,41734,NA,NA,NA,6244,NA,76448,NA,1336776,NA,NA,NA,NA,36944,NA,16200,NA,NA,NA,NA,NA,NA,606801,NA,NA,NA,1577841,NA,3653,NA,158573,155535,NA,NA,NA,NA,NA,NA,47432,124642,NA,1068827,NA,NA,NA,463567,NA,NA,14925,276356,NA,NA,887003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KGZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,NA,NA,NA,NA,174519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1228,NA,NA,NA,NA,NA,NA,NA,NA,NA,3656,NA,NA,NA,129445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008,NA,NA,NA,NA,36164,NA,NA,NA,5521,NA,5086,NA,71648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,NA,NA,NA,1160,173252,NA,NA,NA,NA,NA,NA,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAO,NA,NA,NA,NA,82640,NA,NA,NA,NA,NA,NA,3337,NA,NA,NA,NA,NA,NA,NA,16006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1360,NA,NA,NA,NA,37151,1102,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,NA,NA,1437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51991,NA,NA,NA,24918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1669,NA,NA,NA,2612,NA,NA,NA,31597,NA,NA,NA,NA,NA,3924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12774,NA,NA,NA,NA,NA,NA,2602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1687,4641,NA,NA,NA,NA,NA,448304,NA,NA,NA,472,NA,NA,11651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVA,NA,NA,NA,NA,NA,NA,NA,21468,NA,NA,NA,5108,41062,NA,NA,NA,NA,NA,NA,93673,NA,NA,NA,NA,NA,NA,NA,6428,NA,NA,NA,NA,NA,24560,NA,NA,NA,15678,24615,3113,NA,NA,NA,NA,NA,NA,NA,NA,NA,47268,NA,NA,224203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319457,NA,NA,NA,NA,NA,NA,NA,NA,NA,179564,NA,NA,NA,915399,NA,NA,5326,NA,NA,NA,NA,NA,NA,NA,NA,26193,NA,NA,NA,NA,NA,NA,49149,17475,177832,NA,14024,NA,71380,NA,NA,NA,10555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408187,NA,NA,NA,NA,NA,NA,81547,NA,NA,NA,NA,NA,NA,NA,18654,NA,212902,5496,NA,NA,653,1433723,NA,NA,NA,NA,NA,NA,NA,23245,7293,NA,NA,42046,NA,NA,NA,NA,NA,NA,442391,41714,NA,NA,NA,NA,NA,NA,NA,NA,NA,25961,NA,NA,717846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBN,NA,NA,NA,NA,13680,NA,NA,NA,NA,NA,NA,22383,18491,NA,NA,NA,NA,NA,NA,255381,NA,NA,NA,NA,NA,NA,49010,14869,NA,NA,NA,NA,NA,24939,NA,NA,NA,2415,163873,6850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573711,NA,NA,NA,411497,NA,NA,187195,NA,NA,NA,NA,NA,NA,NA,NA,16914,NA,NA,47993,NA,19236,NA,59052,NA,639014,NA,123818,NA,NA,NA,NA,NA,93362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22659,NA,NA,NA,NA,NA,NA,10355,NA,NA,NA,NA,104477,NA,NA,NA,NA,NA,NA,8079,NA,5345,NA,NA,NA,NA,NA,NA,NA,NA,9671,NA,NA,35593,180136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136753,NA,NA,NA,NA,NA,NA,63927,213500,NA,NA,NA,NA,NA,45353,NA,NA,9117,143466,NA,NA,224485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBR,NA,NA,NA,NA,13720,NA,NA,NA,NA,NA,NA,NA,781,NA,NA,NA,NA,NA,NA,130818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2334,NA,NA,NA,9625,159456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,NA,NA,3220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1495745,NA,NA,NA,495818,NA,NA,49901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3563,NA,NA,NA,NA,NA,89603,NA,NA,NA,NA,NA,NA,NA,1078989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13860,NA,NA,NA,NA,NA,824,285397,NA,NA,NA,NA,NA,NA,NA,NA,NA,75557,3821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453777,NA,NA,NA,3490,7375,NA,NA,NA,NA,NA,NA,NA,9278,NA,NA,NA,NA,NA,NA,NA,NA,NA,22637,NA,NA,24241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBY,NA,NA,NA,NA,1740,NA,NA,55661,NA,NA,NA,NA,196933,NA,NA,NA,NA,NA,NA,117761,NA,NA,NA,NA,NA,NA,54446,2911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74317,NA,NA,NA,2905,NA,NA,NA,NA,NA,NA,2792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,891829,NA,NA,NA,2976259,NA,NA,281984,NA,NA,NA,NA,NA,NA,NA,NA,4620,NA,NA,14833,NA,NA,NA,11970,NA,6856208,NA,101075,NA,NA,NA,NA,NA,149509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19995,NA,NA,NA,NA,NA,NA,121516,NA,NA,NA,NA,177431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14888,59629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21517,NA,1178,NA,NA,1936271,NA,NA,NA,NA,NA,NA,60744,457693,NA,NA,NA,NA,NA,18284,NA,NA,524340,876240,NA,NA,570000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTU,NA,NA,NA,NA,NA,NA,NA,12903,NA,NA,NA,1028,56396,NA,NA,NA,NA,NA,NA,218463,NA,NA,NA,NA,NA,NA,NA,7129,NA,NA,NA,NA,NA,47645,NA,NA,NA,995,35221,NA,NA,NA,978,NA,NA,NA,NA,NA,NA,117808,NA,NA,405230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197755,NA,NA,NA,NA,NA,NA,NA,NA,NA,392132,NA,NA,NA,1352326,NA,NA,17608,NA,NA,NA,NA,NA,NA,NA,NA,47271,NA,NA,729,NA,3541,NA,22342,7895,282760,NA,26016,NA,18910,NA,NA,NA,23729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3397,NA,NA,NA,NA,NA,NA,6765,NA,NA,NA,NA,240689,NA,NA,NA,NA,NA,NA,94249,NA,NA,NA,13317,NA,NA,NA,3652,455,797977,57973,NA,NA,2458,2190545,NA,NA,NA,NA,NA,NA,29800,18185,16352,NA,38766,142209,NA,NA,NA,NA,NA,NA,383307,42976,NA,NA,NA,NA,NA,NA,NA,NA,NA,91951,NA,NA,570467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG,NA,NA,NA,NA,NA,NA,NA,6081,NA,NA,NA,3314,2998,NA,NA,NA,NA,NA,NA,53212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3112,NA,NA,NA,277,72586,16497,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,5208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2877,NA,NA,NA,NA,NA,NA,NA,NA,NA,570289,NA,NA,NA,75542,NA,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66505,NA,NA,NA,NA,NA,51062,NA,51084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5529,NA,NA,NA,NA,NA,NA,1872,NA,NA,NA,NA,14607,NA,NA,NA,NA,NA,3526,NA,NA,NA,NA,NA,NA,NA,NA,930,NA,NA,6550,NA,NA,NA,5731,NA,NA,NA,NA,NA,NA,74737,NA,NA,NA,40758,45915,NA,NA,NA,NA,NA,NA,9850,2036,NA,NA,NA,NA,NA,2972,NA,NA,NA,NA,NA,NA,38728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MWI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3835,1264,NA,NA,NA,NA,NA,NA,7456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2672,NA,NA,NA,NA,NA,NA,NA,NA,NA,14210,NA,NA,NA,53253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919,NA,NA,NA,851,NA,8666,NA,62431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39226,NA,NA,NA,NA,NA,NA,1349,NA,NA,NA,4658,NA,NA,NA,NA,5524,NA,12464,NA,NA,3933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264752,18676,NA,NA,NA,NA,NA,NA,2521,6659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYS,3199,NA,NA,NA,32056,NA,NA,355513,NA,248691,NA,4179609,342079,1746,NA,79956,162891,NA,NA,984626,NA,2107,NA,4559,NA,NA,646710,10200,2139,NA,NA,83097,2257,2143183,NA,NA,NA,161020,8712360,7109879,4852,NA,34323,NA,135862,19822,1591,NA,12458,181592,NA,2537,236887,NA,NA,NA,3283,NA,236538,5536,NA,3339,9541,NA,NA,NA,13929,394640,NA,NA,NA,NA,NA,NA,NA,NA,NA,3180516,1223,NA,NA,5915658,25761,NA,90774,NA,NA,5206,2491,NA,NA,NA,NA,334269,NA,NA,3384784,NA,221914,NA,1296609,NA,1199932,2696,31724142,90750,4591,35804,3430,646,8531432,168206,NA,NA,NA,14738,22659,7571,19995,3397,5529,1086,NA,5518,71819,NA,42281,1534230,NA,29265,NA,294524,NA,NA,3341976,NA,2133,651291,NA,NA,26330,158840,NA,433695,NA,478605,189834,45261,NA,50899,3214469,299457,87415,63778,NA,43096,274481,NA,NA,932010,NA,NA,NA,35440884,NA,18608,NA,513163,633368,224724,NA,NA,NA,16311,NA,1126276,1125490,66167,9930555,NA,24282,NA,6590907,8814,NA,26852,301462,NA,1789,5202830,56063,1152249,17472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2949,NA,NA,NA,NA,NA,NA,35844,NA,NA,NA,NA,NA,NA,27997,NA,NA,NA,NA,NA,NA,22251,NA,NA,NA,NA,32901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156834,NA,NA,NA,37279,NA,NA,1261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8955,NA,NA,NA,3633,NA,29653,NA,6234,NA,NA,NA,NA,NA,8826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5518,NA,NA,NA,NA,NA,NA,12888,NA,NA,NA,NA,7655,NA,NA,NA,NA,NA,7028,913,NA,NA,NA,NA,NA,NA,NA,NA,2315,1685,14504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35790,16123,NA,NA,NA,NA,NA,NA,NA,777,NA,NA,NA,NA,NA,41348,NA,NA,3975,3713,NA,NA,31269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLT,NA,NA,NA,NA,89417,NA,NA,2315,NA,NA,NA,10137,22260,NA,NA,NA,NA,NA,NA,117838,NA,NA,NA,NA,NA,NA,19131,NA,NA,NA,NA,NA,NA,61182,NA,NA,NA,302,89957,15449,NA,NA,NA,NA,NA,NA,NA,NA,NA,5067,NA,NA,19934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28560,NA,NA,NA,NA,NA,NA,NA,NA,NA,813758,NA,NA,NA,546087,NA,NA,157915,NA,NA,NA,NA,NA,NA,NA,NA,16661,NA,NA,2090,NA,NA,NA,23002,18157,858671,NA,101110,NA,NA,NA,NA,NA,219680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71819,NA,NA,NA,NA,22804,NA,3156,NA,NA,NA,NA,86174,NA,NA,4159,NA,NA,NA,29245,NA,NA,NA,NA,NA,NA,NA,NA,2862,13901,17159,NA,NA,15350,59494,NA,NA,NA,NA,NA,NA,1120391,961,1957,NA,3373,172705,NA,NA,NA,NA,NA,NA,25361,40758,NA,NA,NA,NA,NA,47262,NA,NA,23616,99020,NA,NA,468427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
